,source,target,source_group,target_group,weight,source_image,target_image
26,GS00C01529|00001197906C79876GS00C01529,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png
27,00001197909D1408000117554,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png
28,00001198006DFCC0347,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png
29,GS00C01933|00001198002C126385GS00C01933,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png
30,GS00S49046|00001197907C90757GS00S49046,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png
31,F3460894D0011|00000199609C0351F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
32,F3460894D0011|00000199601C0130F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
33,DAHC9495D0005|00000199609C0359DAHC9495D0005,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
34,F3460894D0011|00000199609C0446F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
35,F3460894D0011|00000199609C0447F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
36,F3460894D0011|00000199609C0450F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
37,F3460894D0011|00000199609C0353F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
38,F3460894D0011|00000199609C0448F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
39,F3460894D0011|00000199609C0431F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
40,F3460894D0011|00000199609C0451F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
41,F3460894D0011|00000199609C0449F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
42,F3460894D0011|00000199609C0429F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
43,DAHC9495D0005|00000199609C0357DAHC9495D0005,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
44,N6893995D0018|00000199609C0342N6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
45,N6893995D0018|00000199607C0291N6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
46,F3460894D0011|00000199609C0345F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
47,N6893995D0018|00000199606C0295N6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
48,F3460894D0011|00000199510C0131F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
49,F3460894D0011|00000199609C0361F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
50,N6893995D0018|00000199607C0296N6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
51,00000199609BN6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
52,N6893995D0018|00000199609C0335N6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
53,N6893995D0018|00000199605C0207N6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
54,DAHC9495D0005|00000199609C0422DAHC9495D0005,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
55,N6893995D0018|00000199609C0333N6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
56,F3460894D0011|00000199510C0132F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
57,N6893995D0018|00000199609CYK42N6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
58,F3460894D0011|00000199609C0435F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
59,DAHC9495D0005|00000199609C0469DAHC9495D0005,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
60,N6893995D0018|00000199607C0292N6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
61,F3460894D0011|00000199609C0432F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
62,N6893995D0018|00000199602C0151N6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
63,N6893995D0018|00000199602C0107N6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
64,F3460894D0011|00000199608C0299F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
65,N6893995D0018|00000199609C0369N6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
66,DAHC9495D0005|00000199608C0307DAHC9495D0005,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
67,N6893995D0018|00000199609C0434N6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
68,F3460894D0011|00000199609C0362F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
69,N6893995D0018|00000199609C0384N6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
70,N6893995D0018|00000199609C0334N6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
71,F3460894D0011|00000199609C0360F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
72,F3460894D0011|00000199609C0344F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
73,N6893995D0018|00000199607C0293N6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
74,F3460894D0011|00000199609C0352F3460894D0011,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
75,N6893995D0018|00000199605C0181N6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
76,N6893995D0018|00000199609C0318N6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
77,N6893995D0018|00000199609C0355N6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
78,N6893995D0018|00000199608C0280N6893995D0018,77817617,contract,secondary_vendor,0.8158015726124936,/company_contract.png,/company_secondary.png
79,GS00S86307|00001197912C0753029E3101CGS00S86307,49705585,contract,secondary_vendor,0.11290037370176947,/company_contract.png,/company_secondary.png
80,DCA10094D0017|00000000000000149,46667523,contract,secondary_vendor,0.0,/company_contract.png,/company_secondary.png
81,9122532,GS00S04838|00001197902C1045929E3101CGS00S04838,vendor,contract,0.11142678628266944,/company_vendor.png,/company_contract.png
82,9122532,GS00S86307|00001197908C2526929E3101GS00S86307,vendor,contract,0.11437396112086952,/company_vendor.png,/company_contract.png
83,9122532,GS00S86603|00001198011CDTFA0180F87043GS00S86603,vendor,contract,0.2366817169061737,/company_vendor.png,/company_contract.png
84,9122532,GS00S86953|00001198012CDTFA0181F87074GS00S86953,vendor,contract,0.14384570950287054,/company_vendor.png,/company_contract.png
85,9122532,GS00S86307|00001197909CW17982181GS00S86307,vendor,contract,0.44887830525658107,/company_vendor.png,/company_contract.png
86,9122532,GS00S86307|00001197907C2213929E3101GS00S86307,vendor,contract,0.10847961144446933,/company_vendor.png,/company_contract.png
87,9122532,GS00S04838|00001197901CW17971381GS00S04838,vendor,contract,0.40319709526447933,/company_vendor.png,/company_contract.png
88,9122532,GS00S86307|00001197909CW17976901GS00S86307,vendor,contract,0.157107996274771,/company_vendor.png,/company_contract.png
89,9122532,GS00S86603|00001198003CDTFA0180F87319GS00S86603,vendor,contract,0.1305834227309701,/company_vendor.png,/company_contract.png
